All stim.
[949, 950, 951, 952, 953, 954, 955, 956]
Reward stim.
[949, 951, 953, 955]
PiReceivePC sync.
1553176628.3564947
PiSendPC sync.
1553176628.3640203
time,whichstim,iftouch,ifreward,ifout
1553176628.3641627,0,0,0,0
1553176628.4024234,0,0,0,0
1553176628.4204516,0,0,0,0
1553176628.4380925,0,0,0,0
1553176628.455837,0,0,0,0
1553176628.4736001,0,0,0,0
1553176628.4914815,0,0,0,0
1553176628.5089839,0,0,0,0
1553176628.5262015,0,0,0,0
1553176628.5439627,0,0,0,0
1553176628.5610487,0,0,0,0
1553176628.578206,0,0,0,0
1553176628.595197,0,0,0,0
1553176628.6121697,0,0,0,0
1553176628.6291857,0,0,0,0
1553176628.6463354,0,0,0,0
1553176628.663327,0,0,0,0
1553176628.6803946,0,0,0,0
1553176628.6975567,0,0,0,0
1553176628.714593,0,0,0,0
1553176628.7314906,0,0,0,0
1553176628.7484698,0,0,0,0
1553176628.7654088,0,0,0,0
1553176628.7823222,0,0,0,0
1553176628.7992687,0,0,0,0
1553176628.8164468,0,0,0,0
1553176628.8334334,0,0,0,0
1553176628.8505003,0,0,0,0
1553176628.8675532,0,0,0,0
1553176628.8845916,0,0,0,0
1553176628.9015749,0,0,0,0
1553176628.918569,0,0,0,0
1553176628.9355521,0,0,0,0
1553176628.9524622,0,0,0,0
1553176628.9695861,0,0,0,0
1553176628.9871705,0,0,0,0
1553176629.004477,0,0,0,0
1553176629.0218484,0,0,0,0
1553176629.0392485,0,0,0,0
1553176629.0583637,0,0,0,0
1553176629.076273,0,0,0,0
1553176629.094217,0,0,0,0
1553176629.112392,0,1,0,0
1553176629.1125894,950,0,0,0
1553176629.1478913,950,0,0,0
1553176629.1651852,950,0,0,0
1553176629.1806006,950,0,0,0
1553176629.1971598,950,0,0,0
1553176629.2125795,950,0,0,0
1553176629.2291722,950,0,0,0
1553176629.2455485,950,0,0,0
1553176629.2618067,950,0,0,0
1553176629.2781293,950,0,0,0
1553176629.2940986,950,0,0,0
1553176629.31023,950,0,0,0
1553176629.327262,950,0,0,0
1553176629.343311,950,0,0,0
1553176629.3594117,950,0,0,0
