All stim.
[965, 966, 967, 968, 969, 970, 971, 972]
Reward stim.
[965, 967, 969, 971]
PiReceivePC sync.
1551475576.8097446
PiSendPC sync.
1551475576.810002
time,whichstim,iftouch,ifreward,ifout
1551475576.854876,969,0,0,0
1551475576.868747,969,0,0,0
1551475576.8848019,969,0,0,0
1551475576.901615,969,0,0,0
1551475576.9183426,969,0,0,0
1551475576.9342117,969,0,0,0
1551475576.9499602,969,0,0,0
1551475576.9658124,969,0,0,0
1551475576.9825003,969,0,0,0
1551475576.9982464,969,0,0,0
1551475577.013277,969,0,0,0
1551475577.0291035,969,0,0,0
1551475577.0449378,969,0,0,0
1551475577.0616064,969,0,0,0
1551475577.0783012,969,0,0,0
1551475577.0941992,969,0,0,0
1551475577.1099696,969,0,0,0
1551475577.1258082,969,0,0,0
1551475577.1424649,969,0,0,0
1551475577.1581705,969,0,0,0
1551475577.17405,969,0,0,0
1551475577.189793,969,0,0,0
1551475577.2065709,969,0,0,0
1551475577.2232962,969,0,0,0
1551475577.239036,969,0,0,0
1551475577.2549188,969,0,0,0
1551475577.2706726,969,0,0,0
1551475577.2874703,969,0,0,0
1551475577.30335,969,0,0,0
1551475577.3190851,969,0,0,0
1551475577.3349323,969,0,0,0
1551475577.3507094,969,0,0,0
1551475577.3675504,969,0,0,0
1551475577.3843956,969,0,0,0
1551475577.4001243,969,0,0,0
1551475577.4158645,969,0,0,0
1551475577.432588,969,0,0,0
1551475577.4493334,969,0,0,0
1551475577.4651098,969,0,0,0
1551475577.480813,969,0,0,0
1551475577.4976058,969,0,0,0
1551475577.5144627,969,0,0,0
1551475577.5302248,969,0,0,0
1551475577.5460224,969,0,0,0
1551475577.5617414,969,0,0,0
1551475577.5784402,969,0,0,0
1551475577.594291,969,0,0,0
1551475577.6100314,969,0,0,0
1551475577.625824,969,0,0,0
1551475577.6424732,969,0,0,0
1551475577.6581357,969,0,0,0
1551475577.6739607,969,0,0,0
1551475577.6896775,969,0,0,0
1551475577.7064912,969,0,0,0
1551475577.7222192,969,0,0,0
1551475577.738929,969,0,0,0
1551475577.754807,969,0,0,0
1551475577.7715657,969,0,0,0
1551475577.7883158,969,0,0,0
1551475577.8041866,969,0,0,0
1551475577.8198707,969,0,0,0
1551475577.8366404,969,0,0,0
1551475577.8533845,969,0,0,0
1551475577.8691216,969,0,0,0
1551475577.8849494,969,0,0,0
1551475577.901609,969,0,0,0
1551475577.918343,969,0,0,0
1551475577.934149,969,0,0,0
1551475577.9498723,969,0,0,0
1551475577.9656594,969,0,0,0
1551475577.982379,969,0,0,0
1551475577.9981325,969,0,0,0
1551475578.0131335,969,0,0,0
1551475578.0289567,969,0,0,0
1551475578.0447676,969,0,0,0
