All stim.
[895, 896, 897, 898, 899, 900]
Reward stim.
[895, 897, 899]
PiReceivePC sync.
1553285551.7999268
PiSendPC sync.
1553285551.801354
time,whichstim,iftouch,ifreward,ifout
1553285551.8209472,0,0,0,0
1553285551.8554668,0,0,0,0
1553285551.8723505,0,0,0,0
1553285551.889141,0,0,0,0
1553285551.9059515,0,0,0,0
1553285551.9226835,0,0,0,0
1553285551.9394984,0,0,0,0
1553285551.956318,0,0,0,0
1553285551.9732034,0,0,0,0
1553285551.9901042,0,0,0,0
1553285552.0068994,0,0,0,0
1553285552.0236835,0,0,0,0
1553285552.0406036,0,0,0,0
1553285552.0573866,0,0,0,0
1553285552.0741255,0,0,0,0
1553285552.0909708,0,0,0,0
1553285552.1077452,0,0,0,0
1553285552.124558,0,0,0,0
1553285552.1424778,0,0,0,0
1553285552.1584697,0,0,0,0
1553285552.1753635,0,0,0,0
1553285552.1921477,0,0,0,0
1553285552.2090766,0,0,0,0
1553285552.226036,0,0,0,0
1553285552.2428093,0,0,0,0
1553285552.2597213,0,0,0,0
1553285552.2764904,0,0,0,0
1553285552.293362,0,0,0,0
1553285552.310292,0,0,0,0
1553285552.3271267,0,0,0,0
1553285552.3439004,0,0,0,0
1553285552.3607624,0,0,0,0
1553285552.3776186,0,0,0,0
1553285552.3944604,0,0,0,0
1553285552.4112077,0,0,0,0
1553285552.428023,0,0,0,0
1553285552.4449284,0,0,0,0
1553285552.4618053,0,0,0,0
1553285552.4786475,0,0,0,0
1553285552.4955742,0,0,0,0
1553285552.5125299,0,0,0,0
1553285552.529388,0,0,0,0
1553285552.5462725,0,0,0,0
1553285552.563085,0,0,0,0
1553285552.5799923,0,0,0,0
1553285552.5968688,0,0,0,0
1553285552.6137693,0,0,0,0
1553285552.630682,0,0,0,0
1553285552.6474917,0,0,0,0
1553285552.6643174,0,0,0,0
1553285552.681124,0,0,0,0
1553285552.6979809,0,0,0,0
1553285552.7148228,0,0,0,0
1553285552.7316287,0,0,0,0
1553285552.7485018,0,0,0,0
1553285552.7654626,0,0,0,0
1553285552.7823272,0,0,0,0
1553285552.7991893,0,0,0,0
1553285552.8160722,0,0,0,0
1553285552.8328393,0,0,0,0
1553285552.8497124,0,0,0,0
1553285552.8665047,0,0,0,0
1553285552.8832762,0,0,0,0
1553285552.900178,0,0,0,0
1553285552.9170759,0,0,0,0
1553285552.9339488,0,0,0,0
