All stim.
[957, 958, 959, 960, 961, 962, 963, 964]
Reward stim.
[957, 959, 961, 963]
time,whichstim,iftouch,ifreward,ifout
1551654595.1464612,0,0,0,0
1551654595.1627097,0,0,0,0
1551654595.1792345,0,0,0,0
1551654595.195887,0,0,0,0
1551654595.2124248,0,0,0,0
1551654595.230208,0,0,0,0
1551654595.2466168,0,0,0,0
1551654595.2661793,0,0,0,0
1551654595.2910295,0,0,0,0
1551654595.3081336,0,0,0,0
1551654595.3251717,0,0,0,0
1551654595.3429089,0,0,0,0
1551654595.3598742,0,0,0,0
1551654595.3778036,0,0,0,0
1551654595.3955019,0,0,0,0
1551654595.4124887,0,0,0,0
1551654595.4303255,0,0,0,0
1551654595.4466226,0,0,0,0
1551654595.4628205,0,0,0,0
1551654595.4809597,0,0,0,0
1551654595.4969568,0,0,0,0
1551654595.5129168,0,0,0,0
1551654595.529654,0,0,0,0
1551654595.546518,0,0,0,0
1551654595.5664759,0,0,0,0
1551654595.5836582,0,0,0,0
1551654595.60047,0,0,0,0
1551654595.6171634,0,0,0,0
1551654595.6340394,0,0,0,0
1551654595.6509674,0,0,0,0
1551654595.6677961,0,0,0,0
1551654595.6847363,0,0,0,0
1551654595.7016997,0,0,0,0
1551654595.718254,0,0,0,0
1551654595.7352476,0,0,0,0
1551654595.752088,0,0,0,0
1551654595.769,0,0,0,0
1551654595.7855895,0,0,0,0
1551654595.8015327,0,0,0,0
1551654595.818325,0,0,0,0
1551654595.8352048,0,0,0,0
1551654595.8515377,0,0,0,0
1551654595.8688116,0,0,0,0
1551654595.8863165,0,0,0,0
1551654595.9031355,0,0,0,0
1551654595.919022,0,0,0,0
1551654595.9348521,0,0,0,0
1551654595.9506927,0,0,0,0
1551654595.9675975,0,0,0,0
1551654595.9850745,0,0,0,0
1551654596.0024388,0,0,0,0
1551654596.018476,0,0,0,0
1551654596.0350862,0,0,0,0
1551654596.051853,0,0,0,0
1551654596.0680256,0,0,0,0
1551654596.0840807,0,0,0,0
1551654596.1015673,0,0,0,0
1551654596.117717,0,0,0,0
1551654596.1340482,0,0,0,0
1551654596.1364453,0,1,0,0
1551654596.16525,962,1,0,0
1551654596.1858792,962,1,0,0
1551654596.2020774,962,1,0,0
1551654596.2176445,962,1,0,0
1551654596.2343318,962,1,0,0
1551654596.2511923,962,1,0,0
1551654596.2666516,962,1,0,0
1551654596.2832162,962,1,0,0
1551654596.299201,962,1,0,0
1551654596.3147745,962,1,0,0
1551654596.331331,962,1,0,0
1551654596.348202,962,1,0,0
1551654596.363759,962,1,0,0
