All stim.
[842, 843, 844, 845, 774, 775, 776, 777, 778, 779, 780, 781, 782, 783, 784, 785, 786, 787, 788, 789]
Reward stim.
[842, 844, 774, 776, 778, 780, 782, 784, 786, 788]
PiReceivePC sync.
1556573594.8326418
PiSendPC sync.
1556573594.8333375
time,whichstim,iftouch,ifreward,ifout
1556573594.849768,0,0,0,0
1556573594.8845882,0,0,0,0
1556573594.9016078,0,0,0,0
1556573594.9185598,0,0,0,0
1556573594.9354744,0,0,0,0
1556573594.9526196,0,0,0,0
1556573594.969646,0,0,0,0
1556573594.9867928,0,0,0,0
1556573595.0037386,0,0,0,0
1556573595.0206988,0,0,0,0
1556573595.0376604,0,0,0,0
1556573595.0546172,0,0,0,0
1556573595.0715473,0,0,0,0
1556573595.0884516,0,0,0,0
1556573595.1054106,0,0,0,0
1556573595.122427,0,0,0,0
1556573595.139446,0,0,0,0
1556573595.1563325,0,0,0,0
1556573595.1732693,0,0,0,0
1556573595.1902192,0,0,0,0
1556573595.2071946,0,0,0,0
1556573595.2241123,0,0,0,0
1556573595.2411442,0,0,0,0
1556573595.2581897,0,0,0,0
1556573595.2752,0,0,0,0
1556573595.2921522,0,0,0,0
1556573595.309101,0,0,0,0
1556573595.3260233,0,0,0,0
1556573595.3429713,0,0,0,0
1556573595.3598974,0,0,0,0
1556573595.3769991,0,0,0,0
1556573595.3939857,0,0,0,0
1556573595.4110956,0,0,0,0
1556573595.4280393,0,0,0,0
1556573595.4449446,0,0,0,0
1556573595.4618976,0,0,0,0
1556573595.4788375,0,0,0,0
1556573595.4959676,0,0,0,0
1556573595.51295,0,0,0,0
1556573595.5299382,0,0,0,0
1556573595.5470755,0,0,0,0
1556573595.5639923,0,0,0,0
1556573595.5809188,0,0,0,0
1556573595.5978706,0,0,0,0
1556573595.6148245,0,0,0,0
1556573595.631779,0,0,0,0
1556573595.64872,0,0,0,0
1556573595.6656291,0,0,0,0
1556573595.6826923,0,0,0,0
1556573595.699657,0,0,0,0
1556573595.7165668,0,0,0,0
1556573595.7334719,0,0,0,0
1556573595.750393,0,0,0,0
1556573595.7673776,0,0,0,0
1556573595.784266,0,0,0,0
1556573595.8012772,0,0,0,0
1556573595.8183386,0,0,0,0
1556573595.8357775,0,0,0,0
1556573595.8527596,0,0,0,0
1556573595.8697941,0,0,0,0
1556573595.8867996,0,0,0,0
1556573595.9037168,0,0,0,0
1556573595.9206994,0,0,0,0
1556573595.9377682,0,0,0,0
1556573595.9548345,0,0,0,0
1556573595.971821,0,0,0,0
1556573595.9887266,0,0,0,0
1556573596.005647,0,0,0,0
1556573596.022574,0,0,0,0
1556573596.039546,0,0,0,0
1556573596.0565133,0,0,0,0
1556573596.073512,0,0,0,0
1556573596.0905316,0,0,0,0
1556573596.1075995,0,0,0,0
1556573596.1245298,0,0,0,0
1556573596.1414707,0,0,0,0
1556573596.1583574,0,0,0,0
1556573596.175312,0,0,0,0
1556573596.1922934,0,0,0,0
1556573596.2092838,0,0,0,0
1556573596.2262964,0,0,0,0
1556573596.24332,0,0,0,0
1556573596.2602806,0,0,0,0
1556573596.2772555,0,0,0,0
1556573596.2942214,0,0,0,0
1556573596.3111832,0,0,0,0
1556573596.3282099,0,0,0,0
1556573596.345142,0,0,0,0
1556573596.3621373,0,0,0,0
1556573596.3791802,0,0,0,0
1556573596.3960772,0,0,0,0
1556573596.4130046,0,0,0,0
1556573596.4299316,0,0,0,0
1556573596.4469178,0,0,0,0
1556573596.4638038,0,0,0,0
1556573596.4807756,0,0,0,0
1556573596.4978216,0,0,0,0
1556573596.5148315,0,0,0,0
1556573596.5317516,0,0,0,0
1556573596.5486505,0,0,0,0
1556573596.5655158,0,0,0,0
1556573596.5824416,0,0,0,0
1556573596.5998344,0,0,0,0
1556573596.6169055,0,0,0,0
1556573596.6338997,0,0,0,0
1556573596.6510162,0,0,0,0
1556573596.6679602,0,0,0,0
1556573596.6849,0,0,0,0
1556573596.7018757,0,0,0,0
1556573596.7187788,0,0,0,0
1556573596.7356956,0,0,0,0
1556573596.7526243,0,0,0,0
1556573596.7696533,0,0,0,0
1556573596.7867658,0,0,0,0
1556573596.8037229,0,0,0,0
1556573596.8206694,0,0,0,0
1556573596.8376296,0,0,0,0
1556573596.8546414,0,0,0,0
1556573596.871598,0,0,0,0
1556573596.8885264,0,0,0,0
1556573596.9054863,0,0,0,0
1556573596.9224834,0,0,0,0
1556573596.9395323,0,0,0,0
1556573596.956502,0,0,0,0
1556573596.9734476,0,0,0,0
1556573596.9904058,0,0,0,0
1556573597.007432,0,0,0,0
1556573597.0243778,0,0,0,0
1556573597.0414116,0,0,0,0
1556573597.0584304,0,0,0,0
1556573597.075444,0,0,0,0
1556573597.0924172,0,0,0,0
1556573597.109432,0,0,0,0
1556573597.1263375,0,0,0,0
1556573597.1432555,0,0,0,0
1556573597.160236,0,0,0,0
1556573597.1773155,0,0,0,0
1556573597.1942933,0,0,0,0
1556573597.2113838,0,0,0,0
1556573597.2283578,0,0,0,0
1556573597.2452736,0,0,0,0
1556573597.2622852,0,0,0,0
1556573597.2792008,0,0,0,0
1556573597.2961724,0,0,0,0
1556573597.313086,0,0,0,0
1556573597.3300853,0,0,0,0
1556573597.347513,0,0,0,0
1556573597.3644528,0,0,0,0
1556573597.381354,0,0,0,0
1556573597.3983305,0,0,0,0
1556573597.4152412,0,0,0,0
1556573597.4321437,0,0,0,0
1556573597.4491172,0,0,0,0
1556573597.4660604,0,0,0,0
1556573597.483134,0,0,0,0
1556573597.5000699,0,0,0,0
1556573597.5170755,0,0,0,0
1556573597.5340018,0,0,0,0
1556573597.550929,0,0,0,0
1556573597.5681202,0,0,0,0
1556573597.5850527,0,0,0,0
1556573597.6020832,0,0,0,0
1556573597.6191416,0,0,0,0
1556573597.6360233,0,0,0,0
1556573597.6530125,0,0,0,0
1556573597.6700342,0,0,0,0
1556573597.6870108,0,0,0,0
1556573597.7039227,0,0,0,0
1556573597.7209244,0,0,0,0
1556573597.7379975,0,0,0,0
1556573597.7550032,0,0,0,0
1556573597.7719703,0,0,0,0
1556573597.7888968,0,0,0,0
1556573597.8058324,0,0,0,0
1556573597.8227901,0,0,0,0
1556573597.8397555,0,0,0,0
1556573597.8567781,0,0,0,0
1556573597.8737772,0,0,0,0
1556573597.890932,0,0,0,0
1556573597.907889,0,0,0,0
1556573597.924824,0,0,0,0
1556573597.9417644,0,0,0,0
1556573597.9586995,0,0,0,0
1556573597.9756103,0,0,0,0
1556573597.9925356,0,0,0,0
1556573598.0095537,0,0,0,0
1556573598.026658,0,0,0,0
1556573598.0436337,0,0,0,0
1556573598.060579,0,0,0,0
1556573598.0775237,0,0,0,0
1556573598.094839,0,0,0,0
1556573598.1117606,0,0,0,0
1556573598.1287694,0,0,0,0
1556573598.1457214,0,0,0,0
1556573598.1628244,0,0,0,0
1556573598.1797178,0,0,0,0
1556573598.1966314,0,0,0,0
1556573598.2135463,0,0,0,0
1556573598.2304559,0,0,0,0
1556573598.2474086,0,0,0,0
1556573598.2642803,0,0,0,0
1556573598.2812936,0,0,0,0
1556573598.2985349,0,0,0,0
1556573598.315484,0,0,0,0
1556573598.3324373,0,0,0,0
1556573598.3493712,0,0,0,0
1556573598.366319,0,0,0,0
1556573598.383242,0,0,0,0
1556573598.400263,0,0,0,0
1556573598.4173298,0,0,0,0
1556573598.4343219,0,0,0,0
1556573598.4513862,0,0,0,0
1556573598.4683235,0,0,0,0
1556573598.4852517,0,0,0,0
1556573598.502192,0,0,0,0
1556573598.5192413,0,0,0,0
1556573598.5362034,0,0,0,0
1556573598.5531235,0,0,0,0
1556573598.5701327,0,0,0,0
