All stim.
[842, 843, 844, 845, 686, 687, 688, 689, 690, 691, 692, 693]
Reward stim.
[842, 844, 686, 688, 690, 692]
PiReceivePC sync.
1558040469.6589181
PiSendPC sync.
1558040469.6597352
time,whichstim,iftouch,ifreward,ifout
1558040469.6754076,0,0,0,0
1558040469.7100627,0,0,0,0
1558040469.7270827,0,0,0,0
1558040469.7441773,0,0,0,0
1558040469.7612457,0,0,0,0
1558040469.7783015,0,0,0,0
1558040469.7953217,0,0,0,0
1558040469.8124754,0,0,0,0
1558040469.829566,0,0,0,0
1558040469.8465354,0,0,0,0
1558040469.8635464,0,0,0,0
1558040469.8805852,0,0,0,0
1558040469.8975608,0,0,0,0
1558040469.9145527,0,0,0,0
1558040469.9316747,0,0,0,0
1558040469.948832,0,0,0,0
1558040469.9657989,0,0,0,0
1558040469.9827769,0,0,0,0
1558040469.9997718,0,0,0,0
1558040470.0167527,0,0,0,0
1558040470.0337775,0,0,0,0
1558040470.0508196,0,0,0,0
1558040470.0678492,0,0,0,0
1558040470.084943,0,0,0,0
1558040470.1020136,0,0,0,0
1558040470.120805,0,0,0,0
1558040470.1377847,0,0,0,0
1558040470.154802,0,0,0,0
1558040470.171891,0,0,0,0
1558040470.1890407,0,0,0,0
1558040470.2059991,0,0,0,0
1558040470.2229931,0,0,0,0
1558040470.2399662,0,0,0,0
1558040470.2571301,0,0,0,0
1558040470.2741532,0,0,0,0
1558040470.2912743,0,0,0,0
1558040470.3083978,0,0,0,0
1558040470.3254461,0,0,0,0
1558040470.342515,0,0,0,0
1558040470.3594997,0,0,0,0
1558040470.3764796,0,0,0,0
1558040470.393477,0,0,0,0
1558040470.411502,0,0,0,0
1558040470.42772,0,0,0,0
1558040470.444858,0,0,0,0
1558040470.4619524,0,0,0,0
1558040470.478946,0,0,0,0
1558040470.495932,0,0,0,0
1558040470.5129888,0,0,0,0
1558040470.5299673,0,0,0,0
1558040470.5470111,0,0,0,0
1558040470.5640512,0,0,0,0
1558040470.5812044,0,0,0,0
1558040470.5981872,0,0,0,0
1558040470.6151757,0,0,0,0
1558040470.6323724,0,0,0,0
1558040470.6493456,0,0,0,0
1558040470.6663282,0,0,0,0
1558040470.683362,0,0,0,0
1558040470.7004185,0,0,0,0
1558040470.7174945,0,0,0,0
1558040470.7344553,0,0,0,0
1558040470.7514958,0,0,0,0
1558040470.7684634,0,0,0,0
1558040470.785393,0,0,0,0
1558040470.8025403,0,0,0,0
1558040470.8195763,0,0,0,0
1558040470.836584,0,0,0,0
1558040470.8537915,0,0,0,0
1558040470.8707776,0,0,0,0
1558040470.8876884,0,0,0,0
1558040470.904705,0,0,0,0
1558040470.9217782,0,0,0,0
1558040470.9387841,0,0,0,0
1558040470.9558856,0,0,0,0
1558040470.9730875,0,0,0,0
1558040470.9900997,0,0,0,0
1558040471.0070486,0,0,0,0
1558040471.024082,0,0,0,0
1558040471.0415735,0,0,0,0
1558040471.0586205,0,0,0,0
1558040471.0756593,0,0,0,0
1558040471.0927918,0,0,0,0
1558040471.109755,0,0,0,0
1558040471.126702,0,0,0,0
1558040471.1436777,0,0,0,0
1558040471.1605542,0,0,0,0
1558040471.1775267,0,0,0,0
1558040471.194485,0,0,0,0
1558040471.2115767,0,0,0,0
1558040471.2287505,0,0,0,0
1558040471.2457001,0,0,0,0
1558040471.2627635,0,0,0,0
1558040471.2797503,0,0,0,0
1558040471.2967494,0,0,0,0
1558040471.313766,0,0,0,0
1558040471.3308005,0,0,0,0
1558040471.3477902,0,0,0,0
1558040471.3649077,0,0,0,0
1558040471.3819857,0,0,0,0
1558040471.3989663,0,0,0,0
1558040471.415937,0,0,0,0
1558040471.4329097,0,0,0,0
1558040471.4499366,0,0,0,0
1558040471.466955,0,0,0,0
1558040471.4839604,0,0,0,0
1558040471.5011337,0,0,0,0
