All stim.
[957, 958, 959, 960, 961, 962, 963, 964]
Reward stim.
[957, 959, 961, 963]
PiReceivePC sync.
1552681602.4811828
PiSendPC sync.
1552681602.4812808
time,whichstim,iftouch,ifreward,ifout
1552681602.4813943,0,0,0,0
1552681602.5150073,0,0,0,0
1552681602.5321681,0,0,0,0
1552681602.5483031,0,0,0,0
1552681602.5645008,0,0,0,0
1552681602.5807312,0,0,0,0
1552681602.596823,0,0,0,0
1552681602.613037,0,0,0,0
1552681602.6292815,0,0,0,0
1552681602.6453977,0,0,0,0
1552681602.661575,0,0,0,0
1552681602.6776934,0,0,0,0
1552681602.6938512,0,0,0,0
1552681602.7100956,0,0,0,0
1552681602.7262616,0,0,0,0
1552681602.7425318,0,0,0,0
1552681602.7586536,0,0,0,0
1552681602.7748182,0,0,0,0
1552681602.7910137,0,0,0,0
1552681602.8071141,0,0,0,0
1552681602.8232498,0,0,0,0
1552681602.8394747,0,0,0,0
1552681602.855598,0,0,0,0
1552681602.8718116,0,0,0,0
1552681602.887932,0,0,0,0
1552681602.904092,0,0,0,0
1552681602.9203649,0,0,0,0
1552681602.936302,0,0,0,0
1552681602.9520931,0,0,0,0
1552681602.9678464,0,0,0,0
1552681602.9836352,0,0,0,0
1552681602.9995267,0,0,0,0
1552681603.0152514,0,0,0,0
1552681603.0311167,0,0,0,0
1552681603.0468338,0,0,0,0
1552681603.0626545,0,0,0,0
1552681603.0794544,0,0,0,0
1552681603.0961757,0,0,0,0
1552681603.11198,0,0,0,0
1552681603.1277282,0,0,0,0
1552681603.1435645,0,0,0,0
1552681603.1604042,0,0,0,0
1552681603.1761336,0,0,0,0
1552681603.1929665,0,0,0,0
1552681603.2087264,0,0,0,0
1552681603.2245202,0,0,0,0
1552681603.241357,0,0,0,0
1552681603.257091,0,0,0,0
1552681603.2728999,0,0,0,0
1552681603.288652,0,0,0,0
1552681603.3054898,0,0,0,0
1552681603.3223453,0,0,0,0
1552681603.3388667,0,1,0,0
1552681603.339024,960,0,0,0
1552681603.372031,960,0,0,0
1552681603.3883853,960,0,0,0
1552681603.403874,960,0,0,0
1552681603.4202213,960,0,0,0
1552681603.4355567,960,0,0,0
1552681603.4519088,960,0,0,0
1552681603.4682572,960,0,0,0
1552681603.4836864,960,0,0,0
