All stim.
[943, 944, 945, 946]
Reward stim.
[943, 945]
PiReceivePC sync.
1553546744.5586147
PiSendPC sync.
1553546744.5660288
time,whichstim,iftouch,ifreward,ifout
1553546744.5661502,0,0,0,0
1553546744.6039646,0,0,0,0
1553546744.6210234,0,0,0,0
1553546744.637774,0,0,0,0
1553546744.6545782,0,0,0,0
1553546744.6715174,0,0,0,0
1553546744.688237,0,0,0,0
1553546744.7050037,0,0,0,0
1553546744.7218997,0,0,0,0
1553546744.7386181,0,0,0,0
1553546744.7553473,0,0,0,0
1553546744.7722514,0,0,0,0
1553546744.7889874,0,0,0,0
1553546744.8057225,0,0,0,0
1553546744.8226497,0,0,0,0
1553546744.8394034,0,0,0,0
1553546744.8561525,0,0,0,0
1553546744.8730114,0,0,0,0
1553546744.889747,0,0,0,0
1553546744.9064686,0,0,0,0
1553546744.9232917,0,0,0,0
1553546744.9400737,0,0,0,0
1553546744.9567568,0,0,0,0
1553546744.9735765,0,0,0,0
1553546744.9903135,0,0,0,0
1553546745.0070722,0,0,0,0
1553546745.0239518,0,0,0,0
1553546745.040727,0,0,0,0
1553546745.0578644,0,0,0,0
1553546745.074652,0,0,0,0
1553546745.0915394,0,0,0,0
1553546745.108386,0,0,0,0
1553546745.125119,0,0,0,0
1553546745.1420503,0,0,0,0
1553546745.158791,0,0,0,0
1553546745.175511,0,0,0,0
1553546745.192444,0,0,0,0
1553546745.2092268,0,0,0,0
1553546745.2259588,0,0,0,0
1553546745.242838,0,0,0,0
1553546745.2596276,0,0,0,0
1553546745.2763667,0,0,0,0
1553546745.2933342,0,0,0,0
1553546745.3100924,0,0,0,0
1553546745.3268774,0,0,0,0
1553546745.3437529,0,0,0,0
1553546745.3604991,0,0,0,0
1553546745.3773599,0,0,0,0
1553546745.3941398,0,0,0,0
1553546745.4109805,0,0,0,0
1553546745.4277992,0,0,0,0
1553546745.4446292,0,0,0,0
1553546745.4614604,0,0,0,0
1553546745.478286,0,0,0,0
1553546745.4950483,0,0,0,0
1553546745.5124433,0,0,0,0
1553546745.5292075,0,0,0,0
1553546745.5459867,0,0,0,0
1553546745.5628207,0,0,0,0
1553546745.579645,0,0,0,0
1553546745.596372,0,0,0,0
1553546745.614326,0,0,0,0
1553546745.6312962,0,0,0,0
1553546745.6473403,0,0,0,0
1553546745.6641507,0,0,0,0
1553546745.6810153,0,0,0,0
1553546745.6978626,0,0,0,0
1553546745.7146297,0,0,0,0
1553546745.7314599,0,0,0,0
1553546745.748298,0,0,0,0
1553546745.7650504,0,0,0,0
1553546745.7819471,0,0,0,0
1553546745.7987297,0,0,0,0
1553546745.8155313,0,0,0,0
1553546745.8325567,0,0,0,0
1553546745.849338,0,0,0,0
1553546745.866084,0,0,0,0
1553546745.8829257,0,0,0,0
1553546745.8997245,0,0,0,0
1553546745.9164646,0,0,0,0
1553546745.9333286,0,0,0,0
1553546745.9500954,0,0,0,0
1553546745.9668703,0,0,0,0
1553546745.9838417,0,0,0,0
1553546746.0005865,0,0,0,0
1553546746.0174212,0,0,0,0
1553546746.0342374,0,0,0,0
1553546746.051083,0,0,0,0
1553546746.0679412,0,0,0,0
1553546746.084718,0,0,0,0
1553546746.1015606,0,0,0,0
1553546746.118412,0,0,0,0
1553546746.1351395,0,0,0,0
1553546746.1520262,0,0,0,0
1553546746.168718,0,0,0,0
1553546746.1854582,0,0,0,0
1553546746.2023408,0,0,0,0
1553546746.2190828,0,0,0,0
1553546746.2358284,0,0,0,0
1553546746.2527297,0,0,0,0
1553546746.269438,0,0,0,0
1553546746.286173,0,0,0,0
1553546746.3030696,0,0,0,0
1553546746.3197622,0,0,0,0
1553546746.3367004,0,0,0,0
1553546746.3536315,0,0,0,0
1553546746.3703694,0,0,0,0
1553546746.3871195,0,0,0,0
1553546746.4039574,0,0,0,0
1553546746.420702,0,0,0,0
1553546746.4374325,0,0,0,0
1553546746.454221,0,0,0,0
1553546746.4710214,0,0,0,0
1553546746.4883175,0,0,0,0
1553546746.5049684,0,0,0,0
1553546746.5218089,0,0,0,0
1553546746.5385702,0,0,0,0
1553546746.5554109,0,0,0,0
1553546746.5723577,0,0,0,0
1553546746.5891178,0,0,0,0
1553546746.6058385,0,0,0,0
1553546746.6227937,0,0,0,0
1553546746.6395652,0,0,0,0
1553546746.6562984,0,0,0,0
1553546746.6731324,0,0,0,0
1553546746.6898937,0,0,0,0
1553546746.7066426,0,0,0,0
1553546746.723518,0,0,0,0
1553546746.7402933,0,0,0,0
1553546746.757069,0,0,0,0
1553546746.7738922,0,0,0,0
1553546746.7906559,0,0,0,0
1553546746.8074634,0,0,0,0
1553546746.8242557,0,0,0,0
1553546746.8411314,0,0,0,0
1553546746.857936,0,0,0,0
1553546746.8746748,0,0,0,0
1553546746.8915393,0,0,0,0
1553546746.9083447,0,0,0,0
1553546746.9251325,0,0,0,0
1553546746.942071,0,0,0,0
1553546746.958814,0,0,0,0
1553546746.9755702,0,0,0,0
1553546746.9925287,0,0,0,0
1553546747.0093622,0,0,0,0
1553546747.0261664,0,0,0,0
1553546747.0431063,0,0,0,0
1553546747.0599046,0,0,0,0
1553546747.0766459,0,0,0,0
1553546747.0934918,0,0,0,0
1553546747.1102598,0,0,0,0
1553546747.1272404,0,0,0,0
1553546747.1440473,0,0,0,0
1553546747.1609004,0,0,0,0
1553546747.1777525,0,0,0,0
1553546747.1945293,0,0,0,0
1553546747.2114081,0,0,0,0
1553546747.2282512,0,0,0,0
1553546747.2450173,0,0,0,0
